Algorithms,Algorithm_ID,DPA_METHODS,FEE_METHODS,FES_METHODS,CLF_METHODS,END_METHODS,END_TO_END_METHODS,DPA_METHODS_ID,FEE_METHODS_ID,FES_METHODS_ID,CLF_METHODS_ID,END_METHODS_ID,END_TO_END_METHODS_ID,train_score,test_score,train_time,test_time
TLDUMMY-CSP-SVM,"[0, 1, 0, 1, 0, 0]",TLDUMMY,CSP,,SVM,,,0,1,0,1,0,0,0.804,0.6333333333333333,1.03348228931427,0.1486008882522583
TLDUMMY-CSP-LDA,"[0, 1, 0, 2, 0, 0]",TLDUMMY,CSP,,LDA,,,0,1,0,2,0,0,0.808,0.6388888888888887,0.6104899883270264,0.16693270206451416
TLDUMMY-CSP-LR,"[0, 1, 0, 3, 0, 0]",TLDUMMY,CSP,,LR,,,0,1,0,3,0,0,0.7906666666666666,0.6277777777777778,0.41622605323791506,0.17788596153259278
TLDUMMY-CSP-KNN,"[0, 1, 0, 4, 0, 0]",TLDUMMY,CSP,,KNN,,,0,1,0,4,0,0,0.8186666666666668,0.6377777777777778,0.23659563064575195,0.2057414770126343
TLDUMMY-CSP-DTC,"[0, 1, 0, 5, 0, 0]",TLDUMMY,CSP,,DTC,,,0,1,0,5,0,0,1.0,0.6133333333333333,0.2293614387512207,0.18017561435699464
TLDUMMY-CSP-RFC,"[0, 1, 0, 6, 0, 0]",TLDUMMY,CSP,,RFC,,,0,1,0,6,0,0,1.0,0.64,0.4091834545135498,0.1935354709625244
TLDUMMY-CSP-ETC,"[0, 1, 0, 7, 0, 0]",TLDUMMY,CSP,,ETC,,,0,1,0,7,0,0,1.0,0.6355555555555557,0.35211620330810545,0.20105583667755128
TLDUMMY-CSP-ABC,"[0, 1, 0, 8, 0, 0]",TLDUMMY,CSP,,ABC,,,0,1,0,8,0,0,0.9153333333333334,0.6255555555555556,0.3235297679901123,0.20037264823913575
TLDUMMY-CSP-GBC,"[0, 1, 0, 9, 0, 0]",TLDUMMY,CSP,,GBC,,,0,1,0,9,0,0,1.0,0.6211111111111112,0.35859668254852295,0.1844085454940796
TLDUMMY-CSP-GNB,"[0, 1, 0, 10, 0, 0]",TLDUMMY,CSP,,GNB,,,0,1,0,10,0,0,0.6319999999999999,0.5733333333333334,0.2205141305923462,0.18071274757385253
TLDUMMY-CSP-MLP,"[0, 1, 0, 11, 0, 0]",TLDUMMY,CSP,,MLP,,,0,1,0,11,0,0,0.8413333333333334,0.6399999999999999,0.5934329509735108,0.16443116664886476
TLDUMMY-CSP-ANOVA-K-SVM,"[0, 1, 1, 1, 0, 0]",TLDUMMY,CSP,ANOVA-K,SVM,,,0,1,1,1,0,0,0.804,0.6333333333333333,0.25496175289154055,0.17355263233184814
TLDUMMY-CSP-ANOVA-K-LDA,"[0, 1, 1, 2, 0, 0]",TLDUMMY,CSP,ANOVA-K,LDA,,,0,1,1,2,0,0,0.808,0.6388888888888887,0.22587249279022217,0.17129220962524414
TLDUMMY-CSP-ANOVA-K-LR,"[0, 1, 1, 3, 0, 0]",TLDUMMY,CSP,ANOVA-K,LR,,,0,1,1,3,0,0,0.7906666666666666,0.6277777777777778,0.2575483798980713,0.1706932306289673
TLDUMMY-CSP-ANOVA-K-KNN,"[0, 1, 1, 4, 0, 0]",TLDUMMY,CSP,ANOVA-K,KNN,,,0,1,1,4,0,0,0.8186666666666668,0.6377777777777778,0.2373415470123291,0.19312024116516113
TLDUMMY-CSP-ANOVA-K-DTC,"[0, 1, 1, 5, 0, 0]",TLDUMMY,CSP,ANOVA-K,DTC,,,0,1,1,5,0,0,1.0,0.6077777777777779,0.24066147804260254,0.1678549528121948
TLDUMMY-CSP-ANOVA-K-RFC,"[0, 1, 1, 6, 0, 0]",TLDUMMY,CSP,ANOVA-K,RFC,,,0,1,1,6,0,0,1.0,0.638888888888889,0.3751630067825317,0.18961827754974364
TLDUMMY-CSP-ANOVA-K-ETC,"[0, 1, 1, 7, 0, 0]",TLDUMMY,CSP,ANOVA-K,ETC,,,0,1,1,7,0,0,1.0,0.6377777777777778,0.3305350780487061,0.18480541706085205
TLDUMMY-CSP-ANOVA-K-ABC,"[0, 1, 1, 8, 0, 0]",TLDUMMY,CSP,ANOVA-K,ABC,,,0,1,1,8,0,0,0.914,0.6277777777777779,0.32429726123809816,0.18907277584075927
TLDUMMY-CSP-ANOVA-K-GBC,"[0, 1, 1, 9, 0, 0]",TLDUMMY,CSP,ANOVA-K,GBC,,,0,1,1,9,0,0,1.0,0.6222222222222222,0.3814556360244751,0.18469829559326173
TLDUMMY-CSP-ANOVA-K-GNB,"[0, 1, 1, 10, 0, 0]",TLDUMMY,CSP,ANOVA-K,GNB,,,0,1,1,10,0,0,0.6319999999999999,0.5733333333333334,0.23122222423553468,0.17339181900024414
TLDUMMY-CSP-ANOVA-K-MLP,"[0, 1, 1, 11, 0, 0]",TLDUMMY,CSP,ANOVA-K,MLP,,,0,1,1,11,0,0,0.834,0.6422222222222221,0.5945056676864624,0.17641046047210693
TLDUMMY-CSP-ANOVA-P-SVM,"[0, 1, 2, 1, 0, 0]",TLDUMMY,CSP,ANOVA-P,SVM,,,0,1,2,1,0,0,0.764,0.6222222222222222,0.2426222562789917,0.18800034523010253
TLDUMMY-CSP-ANOVA-P-LDA,"[0, 1, 2, 2, 0, 0]",TLDUMMY,CSP,ANOVA-P,LDA,,,0,1,2,2,0,0,0.7659999999999999,0.6155555555555556,0.22750039100646974,0.17311460971832277
TLDUMMY-CSP-ANOVA-P-LR,"[0, 1, 2, 3, 0, 0]",TLDUMMY,CSP,ANOVA-P,LR,,,0,1,2,3,0,0,0.7613333333333332,0.6088888888888889,0.23000714778900147,0.17723422050476073
TLDUMMY-CSP-ANOVA-P-KNN,"[0, 1, 2, 4, 0, 0]",TLDUMMY,CSP,ANOVA-P,KNN,,,0,1,2,4,0,0,0.8013333333333333,0.65,0.22725198268890381,0.19752922058105468
TLDUMMY-CSP-ANOVA-P-DTC,"[0, 1, 2, 5, 0, 0]",TLDUMMY,CSP,ANOVA-P,DTC,,,0,1,2,5,0,0,1.0,0.6511111111111111,0.22217907905578613,0.18434860706329345
