Algorithms,Algorithm_ID,DPA_METHODS,FEE_METHODS,FES_METHODS,CLF_METHODS,END_METHODS,END_TO_END_METHODS,DPA_METHODS_ID,FEE_METHODS_ID,FES_METHODS_ID,CLF_METHODS_ID,END_METHODS_ID,END_TO_END_METHODS_ID,train_score,test_score,train_time,test_time
TLDUMMY-CSP-SVM,"[0, 1, 0, 1, 0, 0]",TLDUMMY,CSP,,SVM,,,0,1,0,1,0,0,0.6753333333333333,0.5311111111111111,0.731354808807373,0.15514006614685058
TLDUMMY-CSP-LDA,"[0, 1, 0, 2, 0, 0]",TLDUMMY,CSP,,LDA,,,0,1,0,2,0,0,0.6786666666666668,0.5166666666666666,0.4100970983505249,0.16858506202697754
TLDUMMY-CSP-LR,"[0, 1, 0, 3, 0, 0]",TLDUMMY,CSP,,LR,,,0,1,0,3,0,0,0.6786666666666668,0.5333333333333332,0.24268293380737305,0.19726405143737794
TLDUMMY-CSP-KNN,"[0, 1, 0, 4, 0, 0]",TLDUMMY,CSP,,KNN,,,0,1,0,4,0,0,0.7093333333333334,0.5211111111111111,0.22543120384216309,0.2048046588897705
TLDUMMY-CSP-DTC,"[0, 1, 0, 5, 0, 0]",TLDUMMY,CSP,,DTC,,,0,1,0,5,0,0,1.0,0.4822222222222222,0.23341450691223145,0.19762144088745118
TLDUMMY-CSP-RFC,"[0, 1, 0, 6, 0, 0]",TLDUMMY,CSP,,RFC,,,0,1,0,6,0,0,1.0,0.5088888888888888,0.4000910043716431,0.20920295715332032
TLDUMMY-CSP-ETC,"[0, 1, 0, 7, 0, 0]",TLDUMMY,CSP,,ETC,,,0,1,0,7,0,0,1.0,0.5011111111111111,0.3731353282928467,0.21601157188415526
TLDUMMY-CSP-ABC,"[0, 1, 0, 8, 0, 0]",TLDUMMY,CSP,,ABC,,,0,1,0,8,0,0,0.79,0.5044444444444445,0.34264440536499025,0.19869723320007324
TLDUMMY-CSP-GBC,"[0, 1, 0, 9, 0, 0]",TLDUMMY,CSP,,GBC,,,0,1,0,9,0,0,1.0,0.5011111111111111,0.4041739940643311,0.18407416343688965
TLDUMMY-CSP-GNB,"[0, 1, 0, 10, 0, 0]",TLDUMMY,CSP,,GNB,,,0,1,0,10,0,0,0.6453333333333333,0.53,0.23415079116821289,0.18500275611877443
TLDUMMY-CSP-MLP,"[0, 1, 0, 11, 0, 0]",TLDUMMY,CSP,,MLP,,,0,1,0,11,0,0,0.796,0.5244444444444445,0.8682257175445557,0.18466055393218994
TLDUMMY-CSP-ANOVA-K-SVM,"[0, 1, 1, 1, 0, 0]",TLDUMMY,CSP,ANOVA-K,SVM,,,0,1,1,1,0,0,0.6753333333333333,0.5311111111111111,0.2465744972229004,0.19260432720184326
TLDUMMY-CSP-ANOVA-K-LDA,"[0, 1, 1, 2, 0, 0]",TLDUMMY,CSP,ANOVA-K,LDA,,,0,1,1,2,0,0,0.6786666666666668,0.5166666666666666,0.24057111740112305,0.1958608388900757
TLDUMMY-CSP-ANOVA-K-LR,"[0, 1, 1, 3, 0, 0]",TLDUMMY,CSP,ANOVA-K,LR,,,0,1,1,3,0,0,0.6786666666666668,0.5333333333333332,0.24880597591400147,0.18602433204650878
TLDUMMY-CSP-ANOVA-K-KNN,"[0, 1, 1, 4, 0, 0]",TLDUMMY,CSP,ANOVA-K,KNN,,,0,1,1,4,0,0,0.7093333333333334,0.5211111111111111,0.32884137630462645,0.2518048048019409
TLDUMMY-CSP-ANOVA-K-DTC,"[0, 1, 1, 5, 0, 0]",TLDUMMY,CSP,ANOVA-K,DTC,,,0,1,1,5,0,0,1.0,0.51,0.37889459133148196,0.28226168155670167
TLDUMMY-CSP-ANOVA-K-RFC,"[0, 1, 1, 6, 0, 0]",TLDUMMY,CSP,ANOVA-K,RFC,,,0,1,1,6,0,0,1.0,0.5111111111111111,0.6120075941085815,0.26079115867614744
TLDUMMY-CSP-ANOVA-K-ETC,"[0, 1, 1, 7, 0, 0]",TLDUMMY,CSP,ANOVA-K,ETC,,,0,1,1,7,0,0,1.0,0.5144444444444444,0.48387157917022705,0.2388237237930298
TLDUMMY-CSP-ANOVA-K-ABC,"[0, 1, 1, 8, 0, 0]",TLDUMMY,CSP,ANOVA-K,ABC,,,0,1,1,8,0,0,0.79,0.5044444444444445,0.349700403213501,0.1976609706878662
TLDUMMY-CSP-ANOVA-K-GBC,"[0, 1, 1, 9, 0, 0]",TLDUMMY,CSP,ANOVA-K,GBC,,,0,1,1,9,0,0,1.0,0.4933333333333333,0.39537208080291747,0.17956650257110596
TLDUMMY-CSP-ANOVA-K-GNB,"[0, 1, 1, 10, 0, 0]",TLDUMMY,CSP,ANOVA-K,GNB,,,0,1,1,10,0,0,0.6453333333333333,0.53,0.24881486892700194,0.19705591201782227
TLDUMMY-CSP-ANOVA-K-MLP,"[0, 1, 1, 11, 0, 0]",TLDUMMY,CSP,ANOVA-K,MLP,,,0,1,1,11,0,0,0.7939999999999999,0.5344444444444445,0.9950087785720825,0.2155975103378296
TLDUMMY-CSP-ANOVA-P-SVM,"[0, 1, 2, 1, 0, 0]",TLDUMMY,CSP,ANOVA-P,SVM,,,0,1,2,1,0,0,0.6426666666666667,0.5166666666666666,0.2864518165588379,0.21531028747558595
TLDUMMY-CSP-ANOVA-P-LDA,"[0, 1, 2, 2, 0, 0]",TLDUMMY,CSP,ANOVA-P,LDA,,,0,1,2,2,0,0,0.6426666666666666,0.5088888888888888,0.2764429092407227,0.2098116397857666
TLDUMMY-CSP-ANOVA-P-LR,"[0, 1, 2, 3, 0, 0]",TLDUMMY,CSP,ANOVA-P,LR,,,0,1,2,3,0,0,0.6466666666666667,0.5199999999999999,0.27311685085296633,0.21456778049468994
TLDUMMY-CSP-ANOVA-P-KNN,"[0, 1, 2, 4, 0, 0]",TLDUMMY,CSP,ANOVA-P,KNN,,,0,1,2,4,0,0,0.706,0.5066666666666666,0.27358431816101075,0.22763078212738036
TLDUMMY-CSP-ANOVA-P-DTC,"[0, 1, 2, 5, 0, 0]",TLDUMMY,CSP,ANOVA-P,DTC,,,0,1,2,5,0,0,1.0,0.49111111111111116,0.27757060527801514,0.20092957019805907
TLDUMMY-CSP-ANOVA-P-RFC,"[0, 1, 2, 6, 0, 0]",TLDUMMY,CSP,ANOVA-P,RFC,,,0,1,2,6,0,0,1.0,0.4955555555555556,0.4796238899230957,0.2100161075592041
TLDUMMY-CSP-ANOVA-P-ETC,"[0, 1, 2, 7, 0, 0]",TLDUMMY,CSP,ANOVA-P,ETC,,,0,1,2,7,0,0,1.0,0.4966666666666667,0.42438671588897703,0.20987801551818847
TLDUMMY-CSP-ANOVA-P-ABC,"[0, 1, 2, 8, 0, 0]",TLDUMMY,CSP,ANOVA-P,ABC,,,0,1,2,8,0,0,0.7153333333333334,0.4988888888888889,0.3583911180496216,0.20014848709106445
TLDUMMY-CSP-ANOVA-P-GBC,"[0, 1, 2, 9, 0, 0]",TLDUMMY,CSP,ANOVA-P,GBC,,,0,1,2,9,0,0,0.9953333333333335,0.5033333333333333,0.40756659507751464,0.1999143123626709
TLDUMMY-CSP-ANOVA-P-GNB,"[0, 1, 2, 10, 0, 0]",TLDUMMY,CSP,ANOVA-P,GNB,,,0,1,2,10,0,0,0.6406666666666666,0.5044444444444445,0.2575963497161865,0.20801682472229005
