Algorithms,Algorithm_ID,DPA_METHODS,FEE_METHODS,FES_METHODS,CLF_METHODS,END_METHODS,END_TO_END_METHODS,DPA_METHODS_ID,FEE_METHODS_ID,FES_METHODS_ID,CLF_METHODS_ID,END_METHODS_ID,END_TO_END_METHODS_ID,train_score,test_score,trainacc_0,testacc_0,traintime_0,testtime_0,trainacc_1,testacc_1,traintime_1,testtime_1,trainacc_2,testacc_2,traintime_2,testtime_2,trainacc_3,testacc_3,traintime_3,testtime_3,trainacc_4,testacc_4,traintime_4,testtime_4,trainacc_5,testacc_5,traintime_5,testtime_5,mean_trainacc,mean_testacc,mean_traintime,mean_testtime
EA-ABC-TS-LR,"[1, 0, 0, 0, 6, 0]",EA,,,,ABC-TS-LR,,1,0,0,0,6,0,0.616666667,0.634444444,0.758,0.556666667,19.53060222,1.151854873,0.912666667,0.72,17.11267583,1.168780708,0.879333333,0.641111111,17.13460457,1.155912852,0.863333333,0.664444444,9.612924981,0.65727458,0.616666667,0.634444444,19.48004906,1.119643545,0.616666667,0.634444444,19.48004906,1.119643545,0.774444444,0.641851852,17.05848429,1.062185017
EA-ABC-TS-GLM,"[1, 0, 0, 0, 7, 0]",EA,,,,ABC-TS-GLM,,1,0,0,0,7,0,0.616666667,0.634444444,0.758,0.556666667,19.46146855,1.156693816,0.912666667,0.72,17.83436351,1.162819457,0.879333333,0.641111111,18.42906704,1.159529352,0.863333333,0.664444444,11.2296505,0.56740098,0.616666667,0.634444444,18.68426821,1.176970029,0.616666667,0.634444444,18.68426821,1.176970029,0.774444444,0.641851852,17.387181,1.066730611
RPA-ABC-TS-PCA-LR,"[3, 0, 0, 0, 16, 0]",RPA,,,,ABC-TS-PCA-LR,,3,0,0,0,16,0,0.604666667,0.591111111,0.803333333,0.874444444,12.3895112,0.701238704,0.599333333,0.514444444,12.02333336,0.76117053,0.686666667,0.682222222,15.95470798,1.144304228,0.646,0.573333333,15.94661062,0.993191099,0.627333333,0.615555556,10.8777508,0.735663486,0.604666667,0.591111111,16.82021534,1.336312151,0.661222222,0.641851852,14.00202155,0.945313366
EA-TRCSP-ANOVA-K-MLP,"[1, 2, 1, 11, 0, 0]",EA,TRCSP,ANOVA-K,MLP,,,1,2,1,11,0,0,0.589333333,0.523333333,0.625333333,0.541111111,0.878863811,0.184777093,0.825333333,0.79,0.563421535,0.172182298,0.871333333,0.702222222,0.776787066,0.238685608,0.724666667,0.626666667,0.650785732,0.161797857,0.729333333,0.666666667,0.46452179,0.167211914,0.589333333,0.523333333,0.954224634,0.205810523,0.727555556,0.641666667,0.714767428,0.188410882
EA-TS-MIC-P-LDA,"[1, 5, 4, 2, 0, 0]",EA,TS,MIC-P,LDA,,,1,5,4,2,0,0,0.702666667,0.611111111,0.832,0.543333333,0.251085377,0.204829097,0.899333333,0.738888889,0.253398919,0.19745152,0.884,0.657777778,0.25151186,0.20328753,0.885333333,0.697777778,0.236736369,0.200278401,0.684,0.601111111,0.230978584,0.205510902,0.702666667,0.611111111,0.30445292,0.220339918,0.814555556,0.641666667,0.254694005,0.205282895
RA-CSP-RFECV-SVM,"[2, 1, 8, 1, 0, 0]",RA,CSP,RFECV,SVM,,,2,1,8,1,0,0,0.556666667,0.584444444,0.593333333,0.506666667,0.414325166,0.192641234,0.786666667,0.768888889,0.427674532,0.17682209,0.838666667,0.753333333,0.419187856,0.186300588,0.718,0.591111111,0.411471701,0.194424677,0.679333333,0.644444444,0.371051836,0.178253555,0.556666667,0.584444444,0.400163579,0.167330647,0.695444444,0.641481481,0.407312445,0.182628798
RA-ABC-MDM,"[2, 0, 0, 0, 3, 0]",RA,,,,ABC-MDM,,2,0,0,0,3,0,0.615333333,0.621111111,0.768666667,0.551111111,16.25182102,1.18536098,0.906,0.702222222,12.05929713,0.867312312,0.815333333,0.643333333,11.18308573,0.751067877,0.798666667,0.665555556,7.356692743,0.531988335,0.798666667,0.665555556,7.356692743,0.531988335,0.615333333,0.621111111,16.02399533,1.257785416,0.783777778,0.641481481,11.70526412,0.854250542
TLDUMMY-TS-ANOVA-P-SVM,"[0, 5, 2, 1, 0, 0]",TLDUMMY,TS,ANOVA-P,SVM,,,0,5,2,1,0,0,0.898,0.61,0.946,0.568888889,0.247344351,0.203429437,0.956666667,0.72,0.256573319,0.198772693,0.970666667,0.648888889,0.246423316,0.201172471,0.952666667,0.696666667,0.233776188,0.202513528,0.963333333,0.603333333,0.242626572,0.202514005,0.898,0.61,0.260555029,0.198311591,0.947888889,0.641296296,0.247883129,0.201118954
EA-TRCSP-LASSO-LDA,"[1, 2, 6, 2, 0, 0]",EA,TRCSP,LASSO,LDA,,,1,2,6,2,0,0,0.568666667,0.508888889,0.601333333,0.536666667,0.244623804,0.18166678,0.807333333,0.773333333,0.263545299,0.190570235,0.841333333,0.717777778,0.251015472,0.173254251,0.745333333,0.633333333,0.226090789,0.188734555,0.722,0.676666667,0.231345034,0.189073849,0.568666667,0.508888889,0.287746143,0.227319908,0.714333333,0.641111111,0.250727757,0.19176993
RA-ABC-TS-LASSO-LDA,"[2, 0, 0, 0, 18, 0]",RA,,,,ABC-TS-LASSO-LDA,,2,0,0,0,18,0,0.610666667,0.563333333,0.71,0.557777778,0.793228579,0.219471478,0.832,0.675555556,0.880111504,0.203095794,0.702666667,0.614444444,0.910182285,0.206473374,0.734,0.717777778,0.737505388,0.226793504,0.734,0.717777778,0.737505388,0.226793504,0.610666667,0.563333333,0.892014599,0.199594116,0.720555556,0.641111111,0.82509129,0.213703628
