Algorithms,Algorithm_ID,DPA_METHODS,FEE_METHODS,FES_METHODS,CLF_METHODS,END_METHODS,END_TO_END_METHODS,DPA_METHODS_ID,FEE_METHODS_ID,FES_METHODS_ID,CLF_METHODS_ID,END_METHODS_ID,END_TO_END_METHODS_ID,train_score,test_score,train_time,test_time
TLDUMMY-CSP-SVM,"[0, 1, 0, 1, 0, 0]",TLDUMMY,CSP,,SVM,,,0,1,0,1,0,0,0.8933333333333333,0.6966666666666667,1.2013623237609863,0.1641573429107666
TLDUMMY-CSP-LDA,"[0, 1, 0, 2, 0, 0]",TLDUMMY,CSP,,LDA,,,0,1,0,2,0,0,0.8913333333333332,0.7033333333333334,0.6006699800491333,0.1615062713623047
TLDUMMY-CSP-LR,"[0, 1, 0, 3, 0, 0]",TLDUMMY,CSP,,LR,,,0,1,0,3,0,0,0.8926666666666666,0.6977777777777778,0.4564890146255493,0.1985866069793701
TLDUMMY-CSP-KNN,"[0, 1, 0, 4, 0, 0]",TLDUMMY,CSP,,KNN,,,0,1,0,4,0,0,0.8859999999999999,0.6366666666666667,0.25821762084960936,0.22774386405944824
TLDUMMY-CSP-DTC,"[0, 1, 0, 5, 0, 0]",TLDUMMY,CSP,,DTC,,,0,1,0,5,0,0,1.0,0.6477777777777778,0.24741637706756592,0.19952454566955566
TLDUMMY-CSP-RFC,"[0, 1, 0, 6, 0, 0]",TLDUMMY,CSP,,RFC,,,0,1,0,6,0,0,1.0,0.6722222222222223,0.3986069917678833,0.20178530216217042
TLDUMMY-CSP-ETC,"[0, 1, 0, 7, 0, 0]",TLDUMMY,CSP,,ETC,,,0,1,0,7,0,0,1.0,0.69,0.3626950979232788,0.1891845703125
TLDUMMY-CSP-ABC,"[0, 1, 0, 8, 0, 0]",TLDUMMY,CSP,,ABC,,,0,1,0,8,0,0,0.9880000000000001,0.6511111111111112,0.32904438972473143,0.1896766185760498
TLDUMMY-CSP-GBC,"[0, 1, 0, 9, 0, 0]",TLDUMMY,CSP,,GBC,,,0,1,0,9,0,0,1.0,0.6811111111111112,0.4003132343292236,0.19645798206329346
TLDUMMY-CSP-GNB,"[0, 1, 0, 10, 0, 0]",TLDUMMY,CSP,,GNB,,,0,1,0,10,0,0,0.8073333333333335,0.6200000000000001,0.2337477207183838,0.19477484226226807
TLDUMMY-CSP-MLP,"[0, 1, 0, 11, 0, 0]",TLDUMMY,CSP,,MLP,,,0,1,0,11,0,0,0.9259999999999999,0.6922222222222223,0.5764086246490479,0.16666100025177003
TLDUMMY-CSP-ANOVA-K-SVM,"[0, 1, 1, 1, 0, 0]",TLDUMMY,CSP,ANOVA-K,SVM,,,0,1,1,1,0,0,0.8933333333333333,0.6966666666666667,0.2526915788650513,0.18589980602264405
TLDUMMY-CSP-ANOVA-K-LDA,"[0, 1, 1, 2, 0, 0]",TLDUMMY,CSP,ANOVA-K,LDA,,,0,1,1,2,0,0,0.8913333333333332,0.7033333333333334,0.2419912338256836,0.18867263793945313
TLDUMMY-CSP-ANOVA-K-LR,"[0, 1, 1, 3, 0, 0]",TLDUMMY,CSP,ANOVA-K,LR,,,0,1,1,3,0,0,0.8926666666666666,0.6977777777777778,0.24855024814605714,0.20112192630767822
TLDUMMY-CSP-ANOVA-K-KNN,"[0, 1, 1, 4, 0, 0]",TLDUMMY,CSP,ANOVA-K,KNN,,,0,1,1,4,0,0,0.8859999999999999,0.6366666666666667,0.2444831132888794,0.20746071338653566
