Algorithms,Algorithm_ID,DPA_METHODS,FEE_METHODS,FES_METHODS,CLF_METHODS,END_METHODS,END_TO_END_METHODS,DPA_METHODS_ID,FEE_METHODS_ID,FES_METHODS_ID,CLF_METHODS_ID,END_METHODS_ID,END_TO_END_METHODS_ID,train_score,test_score,train_time,test_time
TLDUMMY-CSP-ANOVA-P-ETC,"[0, 1, 2, 7, 0, 0]",TLDUMMY,CSP,ANOVA-P,ETC,,,0,1,2,7,0,0,1.0,0.5877777777777778,0.3357217788696289,0.18429925441741943
TLDUMMY-CSP-ANOVA-P-ABC,"[0, 1, 2, 8, 0, 0]",TLDUMMY,CSP,ANOVA-P,ABC,,,0,1,2,8,0,0,0.8373333333333333,0.6011111111111112,0.3057106971740723,0.19700140953063966
TLDUMMY-CSP-ANOVA-P-GBC,"[0, 1, 2, 9, 0, 0]",TLDUMMY,CSP,ANOVA-P,GBC,,,0,1,2,9,0,0,0.9986666666666666,0.6011111111111112,0.383897590637207,0.18059706687927246
TLDUMMY-CSP-ANOVA-P-GNB,"[0, 1, 2, 10, 0, 0]",TLDUMMY,CSP,ANOVA-P,GNB,,,0,1,2,10,0,0,0.7166666666666666,0.5755555555555555,0.23582043647766113,0.186667537689209
TLDUMMY-CSP-ANOVA-P-MLP,"[0, 1, 2, 11, 0, 0]",TLDUMMY,CSP,ANOVA-P,MLP,,,0,1,2,11,0,0,0.7293333333333334,0.5877777777777776,0.39993093013763426,0.17456696033477784
TLDUMMY-CSP-MIC-K-SVM,"[0, 1, 3, 1, 0, 0]",TLDUMMY,CSP,MIC-K,SVM,,,0,1,3,1,0,0,0.792,0.6,0.260693883895874,0.1896817445755005
TLDUMMY-CSP-MIC-K-LDA,"[0, 1, 3, 2, 0, 0]",TLDUMMY,CSP,MIC-K,LDA,,,0,1,3,2,0,0,0.7959999999999999,0.6055555555555554,0.23141345977783204,0.1802300214767456
TLDUMMY-CSP-MIC-K-LR,"[0, 1, 3, 3, 0, 0]",TLDUMMY,CSP,MIC-K,LR,,,0,1,3,3,0,0,0.7846666666666666,0.5933333333333334,0.2426652193069458,0.18336813449859618
TLDUMMY-CSP-MIC-K-KNN,"[0, 1, 3, 4, 0, 0]",TLDUMMY,CSP,MIC-K,KNN,,,0,1,3,4,0,0,0.8160000000000001,0.5855555555555554,0.23807342052459718,0.18576714992523194
TLDUMMY-CSP-MIC-K-DTC,"[0, 1, 3, 5, 0, 0]",TLDUMMY,CSP,MIC-K,DTC,,,0,1,3,5,0,0,1.0,0.5522222222222222,0.23048980236053468,0.17598133087158202
TLDUMMY-CSP-MIC-K-RFC,"[0, 1, 3, 6, 0, 0]",TLDUMMY,CSP,MIC-K,RFC,,,0,1,3,6,0,0,1.0,0.5866666666666667,0.3917028188705444,0.18001024723052977
TLDUMMY-CSP-MIC-K-ETC,"[0, 1, 3, 7, 0, 0]",TLDUMMY,CSP,MIC-K,ETC,,,0,1,3,7,0,0,1.0,0.6033333333333333,0.3645155429840088,0.20236973762512206
TLDUMMY-CSP-MIC-K-ABC,"[0, 1, 3, 8, 0, 0]",TLDUMMY,CSP,MIC-K,ABC,,,0,1,3,8,0,0,0.9346666666666668,0.5866666666666666,0.32058489322662354,0.19246292114257812
TLDUMMY-CSP-MIC-K-GBC,"[0, 1, 3, 9, 0, 0]",TLDUMMY,CSP,MIC-K,GBC,,,0,1,3,9,0,0,1.0,0.5799999999999998,0.3891974925994873,0.18708508014678954
TLDUMMY-CSP-MIC-K-GNB,"[0, 1, 3, 10, 0, 0]",TLDUMMY,CSP,MIC-K,GNB,,,0,1,3,10,0,0,0.706,0.5788888888888889,0.21938905715942383,0.1870699405670166
TLDUMMY-CSP-MIC-K-MLP,"[0, 1, 3, 11, 0, 0]",TLDUMMY,CSP,MIC-K,MLP,,,0,1,3,11,0,0,0.842,0.5988888888888889,0.6124251365661622,0.15156111717224122
TLDUMMY-CSP-MIC-P-SVM,"[0, 1, 4, 1, 0, 0]",TLDUMMY,CSP,MIC-P,SVM,,,0,1,4,1,0,0,0.728,0.5855555555555554,0.24426476955413817,0.16763606071472167
TLDUMMY-CSP-MIC-P-LDA,"[0, 1, 4, 2, 0, 0]",TLDUMMY,CSP,MIC-P,LDA,,,0,1,4,2,0,0,0.7186666666666668,0.5899999999999999,0.23155381679534912,0.18236219882965088
TLDUMMY-CSP-MIC-P-LR,"[0, 1, 4, 3, 0, 0]",TLDUMMY,CSP,MIC-P,LR,,,0,1,4,3,0,0,0.7226666666666668,0.5788888888888889,0.22288873195648193,0.1818707227706909
TLDUMMY-CSP-MIC-P-KNN,"[0, 1, 4, 4, 0, 0]",TLDUMMY,CSP,MIC-P,KNN,,,0,1,4,4,0,0,0.7773333333333333,0.5833333333333333,0.23469171524047852,0.1942368507385254
TLDUMMY-CSP-MIC-P-DTC,"[0, 1, 4, 5, 0, 0]",TLDUMMY,CSP,MIC-P,DTC,,,0,1,4,5,0,0,1.0,0.5566666666666666,0.24238295555114747,0.18951871395111083
TLDUMMY-CSP-MIC-P-RFC,"[0, 1, 4, 6, 0, 0]",TLDUMMY,CSP,MIC-P,RFC,,,0,1,4,6,0,0,1.0,0.5677777777777777,0.3812896728515625,0.1907717227935791
TLDUMMY-CSP-MIC-P-ETC,"[0, 1, 4, 7, 0, 0]",TLDUMMY,CSP,MIC-P,ETC,,,0,1,4,7,0,0,1.0,0.5788888888888888,0.3355611085891724,0.18428664207458495
TLDUMMY-CSP-MIC-P-ABC,"[0, 1, 4, 8, 0, 0]",TLDUMMY,CSP,MIC-P,ABC,,,0,1,4,8,0,0,0.8253333333333334,0.5733333333333333,0.30156373977661133,0.1852034330368042
TLDUMMY-CSP-MIC-P-GBC,"[0, 1, 4, 9, 0, 0]",TLDUMMY,CSP,MIC-P,GBC,,,0,1,4,9,0,0,0.9993333333333332,0.57,0.3375270843505859,0.1808042049407959
TLDUMMY-CSP-MIC-P-GNB,"[0, 1, 4, 10, 0, 0]",TLDUMMY,CSP,MIC-P,GNB,,,0,1,4,10,0,0,0.6573333333333332,0.5555555555555556,0.22769517898559571,0.1794503927230835
TLDUMMY-CSP-MIC-P-MLP,"[0, 1, 4, 11, 0, 0]",TLDUMMY,CSP,MIC-P,MLP,,,0,1,4,11,0,0,0.7346666666666667,0.5888888888888888,0.4231245040893555,0.1713721752166748
TLDUMMY-CSP-PCA-SVM,"[0, 1, 5, 1, 0, 0]",TLDUMMY,CSP,PCA,SVM,,,0,1,5,1,0,0,0.7413333333333333,0.5888888888888888,0.23451850414276124,0.17078680992126466
TLDUMMY-CSP-PCA-LDA,"[0, 1, 5, 2, 0, 0]",TLDUMMY,CSP,PCA,LDA,,,0,1,5,2,0,0,0.734,0.601111111111111,0.2374103546142578,0.18886468410491944
TLDUMMY-CSP-PCA-LR,"[0, 1, 5, 3, 0, 0]",TLDUMMY,CSP,PCA,LR,,,0,1,5,3,0,0,0.7386666666666668,0.5877777777777776,0.24646930694580077,0.17876267433166504
TLDUMMY-CSP-PCA-KNN,"[0, 1, 5, 4, 0, 0]",TLDUMMY,CSP,PCA,KNN,,,0,1,5,4,0,0,0.7966666666666666,0.5411111111111111,0.2342912197113037,0.1890932321548462
TLDUMMY-CSP-PCA-DTC,"[0, 1, 5, 5, 0, 0]",TLDUMMY,CSP,PCA,DTC,,,0,1,5,5,0,0,1.0,0.53,0.23626561164855958,0.18659963607788085
