Algorithms,Algorithm_ID,DPA_METHODS,FEE_METHODS,FES_METHODS,CLF_METHODS,END_METHODS,END_TO_END_METHODS,DPA_METHODS_ID,FEE_METHODS_ID,FES_METHODS_ID,CLF_METHODS_ID,END_METHODS_ID,END_TO_END_METHODS_ID,train_score,test_score,train_time,test_time
TLDUMMY-CSP-SVM,"[0, 1, 0, 1, 0, 0]",TLDUMMY,CSP,,SVM,,,0,1,0,1,0,0,0.8053333333333332,0.76,1.1662826538085938,0.16390616893768312
TLDUMMY-CSP-LDA,"[0, 1, 0, 2, 0, 0]",TLDUMMY,CSP,,LDA,,,0,1,0,2,0,0,0.796,0.7555555555555555,1.0341596603393555,0.1687718391418457
TLDUMMY-CSP-LR,"[0, 1, 0, 3, 0, 0]",TLDUMMY,CSP,,LR,,,0,1,0,3,0,0,0.806,0.7655555555555555,0.4533247709274292,0.17254304885864258
TLDUMMY-CSP-KNN,"[0, 1, 0, 4, 0, 0]",TLDUMMY,CSP,,KNN,,,0,1,0,4,0,0,0.8246666666666668,0.7300000000000001,0.30102906227111814,0.19668636322021485
TLDUMMY-CSP-DTC,"[0, 1, 0, 5, 0, 0]",TLDUMMY,CSP,,DTC,,,0,1,0,5,0,0,1.0,0.6444444444444443,0.257292652130127,0.16807100772857667
TLDUMMY-CSP-RFC,"[0, 1, 0, 6, 0, 0]",TLDUMMY,CSP,,RFC,,,0,1,0,6,0,0,1.0,0.73,0.4762378215789795,0.17755422592163086
TLDUMMY-CSP-ETC,"[0, 1, 0, 7, 0, 0]",TLDUMMY,CSP,,ETC,,,0,1,0,7,0,0,1.0,0.7288888888888889,0.3541614532470703,0.178847336769104
TLDUMMY-CSP-ABC,"[0, 1, 0, 8, 0, 0]",TLDUMMY,CSP,,ABC,,,0,1,0,8,0,0,0.9040000000000001,0.7288888888888889,0.3336812496185303,0.18952007293701173
TLDUMMY-CSP-GBC,"[0, 1, 0, 9, 0, 0]",TLDUMMY,CSP,,GBC,,,0,1,0,9,0,0,1.0,0.7144444444444444,0.40738468170166015,0.19336118698120117
TLDUMMY-CSP-GNB,"[0, 1, 0, 10, 0, 0]",TLDUMMY,CSP,,GNB,,,0,1,0,10,0,0,0.6279999999999999,0.5644444444444444,0.24841458797454835,0.1819627285003662
